source,brand,name,former_price,current_price,discount,product_link,page,discount_pct,savings,on_sale,sold_by_n_sites,scraped_at,collection_method
framesdirect,Gucci,GG1340O,305.0,259.25,15%,https://www.framesdirect.com/gucci-gg1340o-eyeglasses?color=4,1,15.0,45.75,True,1,2026-09-25T02:58:40+00:00,Selenium Grid
framesdirect,Kate Spade,KS Marnie 2/G,240.0,168.0,30%,https://www.framesdirect.com/kate-spade-ks-marnie-2-g-eyeglasses?color=2,2,30.0,72.0,True,1,2026-09-25T02:58:40+00:00,Selenium Grid
framesdirect,Michael Kors,MK4196U,161.0,112.7,30%,https://www.framesdirect.com/michael-kors-mk4196u-eyeglasses?color=10063691,2,30.0,48.3,True,1,2026-09-25T02:58:40+00:00,Selenium Grid
framesdirect,Oakley,Airdrop,,227.0,,https://www.framesdirect.com/oakley-airdrop-eyeglasses?color=1,1,,,False,1,2026-09-25T02:58:40+00:00,Selenium Grid
framesdirect,Oakley,Burrow,,442.0,,https://www.framesdirect.com/oakley-burrow-eyeglasses?color=1,2,,,False,1,2026-09-25T02:58:40+00:00,Selenium Grid
framesdirect,Oakley,Enigma Echo,,255.0,,https://www.framesdirect.com/oakley-enigma-echo-eyeglasses?color=10063035,1,,,False,1,2026-09-25T02:58:40+00:00,Selenium Grid
framesdirect,Oakley,Hex Jector (TruBridge),,187.0,,https://www.framesdirect.com/oakley-hex-jector-eyeglasses?color=4,2,,,False,1,2026-09-25T02:58:40+00:00,Selenium Grid
framesdirect,Oakley,Holbrook RX,,187.0,,https://www.framesdirect.com/oakley-holbrook-rx-eyeglasses?color=1,1,,,False,2,2026-09-25T02:58:40+00:00,Selenium Grid
framesdirect,Oakley,Overhead,,172.0,,https://www.framesdirect.com/oakley-ox8060-eyeglasses?color=1,2,,,False,1,2026-09-25T02:58:40+00:00,Selenium Grid
framesdirect,Oakley,Pitchman R,,255.0,,https://www.framesdirect.com/oakley-pitchman-r-eyeglasses?color=10059666,1,,,False,1,2026-09-25T02:58:40+00:00,Selenium Grid
framesdirect,Oakley,Plank 2.0,,187.0,,https://www.framesdirect.com/oakley-plank-2.0-eyeglasses?color=6,1,,,False,1,2026-09-25T02:58:40+00:00,Selenium Grid
framesdirect,Oakley,Socket 5.5,,227.0,,https://www.framesdirect.com/oakley-socket-5.5-eyeglasses?color=13,1,,,False,1,2026-09-25T02:58:40+00:00,Selenium Grid
framesdirect,Polo,PH2083,201.0,140.7,30%,https://www.framesdirect.com/polo-ph2083-eyeglasses?color=499297,1,30.0,60.3,True,1,2026-09-25T02:58:40+00:00,Selenium Grid
framesdirect,RALPH by Ralph Lauren,RA7158U,141.0,98.7,30%,https://www.framesdirect.com/ralph-by-ralph-lauren-ra7158u-eyeglasses?color=1,1,30.0,42.3,True,1,2026-09-25T02:58:40+00:00,Selenium Grid
framesdirect,RALPH by Ralph Lauren,RA7196U,157.0,109.9,30%,https://www.framesdirect.com/ralph-by-ralph-lauren-ra7196u-eyeglasses?color=10058340,2,30.0,47.1,True,1,2026-09-25T02:58:40+00:00,Selenium Grid
framesdirect,Ray-Ban,RB3447V Round Metal,,210.0,,https://www.framesdirect.com/ray-ban-rb3447v-round-metal-eyeglasses?color=10020477,2,,,False,1,2026-09-25T02:58:40+00:00,Selenium Grid
framesdirect,Ray-Ban,RB3792V,,195.0,,https://www.framesdirect.com/ray-ban-rb3792v-eyeglasses?color=10063052,2,,,False,1,2026-09-25T02:58:40+00:00,Selenium Grid
framesdirect,Ray-Ban,RB4340V Wayfarer Ease,210.0,147.0,30%,https://www.framesdirect.com/ray-ban-rb4340v-eyeglasses?color=10021732,2,30.0,63.0,True,1,2026-09-25T02:58:40+00:00,Selenium Grid
framesdirect,Ray-Ban,RB5154 Clubmaster,,222.0,,https://www.framesdirect.com/ray-ban-rb5154-clubmaster-eyeglasses?color=392445,1,,,False,1,2026-09-25T02:58:40+00:00,Selenium Grid
framesdirect,Ray-Ban,RB5397 - Elliot Optics,,210.0,,https://www.framesdirect.com/ray-ban-rb5397-elliot-optics-eyeglasses?color=1,1,,,False,1,2026-09-25T02:58:40+00:00,Selenium Grid
framesdirect,Ray-Ban,RB6335,,210.0,,https://www.framesdirect.com/ray-ban-rb6335-eyeglasses?color=10009371,2,,,False,1,2026-09-25T02:58:40+00:00,Selenium Grid
framesdirect,Ray-Ban,RB6396,210.0,105.0,50%,https://www.framesdirect.com/ray-ban-rb6396-eyeglasses?color=10020289,2,50.0,105.0,True,1,2026-09-25T02:58:40+00:00,Selenium Grid
framesdirect,Ray-Ban,RB6558,,186.0,,https://www.framesdirect.com/ray-ban-rb6558-eyeglasses?color=10063099,1,,,False,1,2026-09-25T02:58:40+00:00,Selenium Grid
framesdirect,Ray-Ban,RB7047,,176.0,,https://www.framesdirect.com/ray-ban-rb7047-eyeglasses?color=10007662,1,,,False,2,2026-09-25T02:58:40+00:00,Selenium Grid
framesdirect,Ray-Ban,RB7199,,249.0,,https://www.framesdirect.com/ray-ban-rb7199-eyeglasses?color=1,2,,,False,1,2026-09-25T02:58:40+00:00,Selenium Grid
framesdirect,Ray-Ban Meta (Gen 3),Meta Aviator Transitions®,,529.0,,https://www.framesdirect.com/ray-ban-meta-gen-3-meta-aviator-eyeglasses?color=1,1,,,False,1,2026-09-25T02:58:40+00:00,Selenium Grid
framesdirect,Ray-Ban Meta (Gen 3),Meta Wayfarer Transitions®,,449.0,,https://www.framesdirect.com/ray-ban-meta-gen-3-meta-wayfarer-eyeglasses?color=5,1,,,False,1,2026-09-25T02:58:40+00:00,Selenium Grid
framesdirect,Ray-Ban Meta (Gen 3),Meta Zena Optics,,449.0,,https://www.framesdirect.com/ray-ban-meta-gen-3-meta-zena-optics-eyeglasses?color=1,1,,,False,1,2026-09-25T02:58:40+00:00,Selenium Grid
framesdirect,Swarovski,SK2001,276.0,138.0,50%,https://www.framesdirect.com/swarovski-sk2001-eyeglasses?color=1,1,50.0,138.0,True,1,2026-09-25T02:58:40+00:00,Selenium Grid
framesdirect,Tiffany & Co.,TF2303U,371.0,259.7,30%,https://www.framesdirect.com/tiffany-co.-tf2303u-eyeglasses?color=10063846,1,30.0,111.3,True,1,2026-09-25T02:58:40+00:00,Selenium Grid
framesdirect,Versace,VE1274,298.0,208.6,30%,https://www.framesdirect.com/versace-ve1274-eyeglasses?color=10051376,2,30.0,89.4,True,1,2026-09-25T02:58:40+00:00,Selenium Grid
framesdirect,Versace,VE1285,300.0,210.0,30%,https://www.framesdirect.com/versace-ve1285-eyeglasses?color=3,2,30.0,90.0,True,1,2026-09-25T02:58:40+00:00,Selenium Grid
framesdirect,Versace,VE1295,376.0,188.0,50%,https://www.framesdirect.com/versace-ve1295-eyeglasses?color=1,1,50.0,188.0,True,1,2026-09-25T02:58:40+00:00,Selenium Grid
framesdirect,Versace,VE1324D,316.0,221.2,30%,https://www.framesdirect.com/versace-ve1324d-eyeglasses?color=10063410,2,30.0,94.8,True,1,2026-09-25T02:58:40+00:00,Selenium Grid
framesdirect,Versace,VE1325D,316.0,221.2,30%,https://www.framesdirect.com/versace-ve1325d-eyeglasses?color=10063413,2,30.0,94.8,True,1,2026-09-25T02:58:40+00:00,Selenium Grid
framesdirect,Versace,VE1326,406.0,284.2,30%,https://www.framesdirect.com/versace-ve1326-eyeglasses?color=10063416,2,30.0,121.8,True,1,2026-09-25T02:58:40+00:00,Selenium Grid
framesdirect,Versace,VE3186,286.0,200.2,30%,https://www.framesdirect.com/versace-ve3186-eyeglasses?color=10000262,1,30.0,85.8,True,1,2026-09-25T02:58:40+00:00,Selenium Grid
framesdirect,Versace,VE3397U,286.0,200.2,30%,https://www.framesdirect.com/versace-ve3397u-eyeglasses?color=10063428,2,30.0,85.8,True,1,2026-09-25T02:58:40+00:00,Selenium Grid
framesdirect,Versace,VE3398,286.0,200.2,30%,https://www.framesdirect.com/versace-ve3398-eyeglasses?color=10063435,2,30.0,85.8,True,1,2026-09-25T02:58:40+00:00,Selenium Grid
framesdirect,Versace,VE3398F,286.0,200.2,30%,https://www.framesdirect.com/versace-ve3398f-eyeglasses?color=3,2,30.0,85.8,True,1,2026-09-25T02:58:40+00:00,Selenium Grid
framesdirect,Versace,VE3399U,286.0,200.2,30%,https://www.framesdirect.com/versace-ve3399u-eyeglasses?color=3,2,30.0,85.8,True,1,2026-09-25T02:58:40+00:00,Selenium Grid
framesdirect,Versace,VE3404D,286.0,200.2,30%,https://www.framesdirect.com/versace-ve3404d-eyeglasses?color=3,2,30.0,85.8,True,1,2026-09-25T02:58:40+00:00,Selenium Grid
framesdirect,XXL,Tuga,197.38,98.69,50%,https://www.framesdirect.com/xxl-tuga-eyeglasses?color=3,1,50.0,98.69,True,1,2026-09-25T02:58:40+00:00,Selenium Grid
