source,brand,name,former_price,current_price,discount,product_link,page
eyebuydirect,EyeBuyDirect,St Michel,,49.0,,https://www.eyebuydirect.com/eyeglasses/frames/st-michel-golden-s-19638,1
eyebuydirect,EyeBuyDirect,Ember,,23.0,,https://www.eyebuydirect.com/eyeglasses/frames/ember-matte-black-l-18789,1
eyebuydirect,EyeBuyDirect,Wit,,33.0,,https://www.eyebuydirect.com/eyeglasses/frames/wit-black-m-20008,1
eyebuydirect,EyeBuyDirect,Coexist,,26.0,,https://www.eyebuydirect.com/eyeglasses/frames/coexist-black-silver-m-15587,1
eyebuydirect,EyeBuyDirect,Aven,,46.0,,https://www.eyebuydirect.com/eyeglasses/frames/aven-tortoise-m-30082,1
eyebuydirect,Ray-Ban,RB7047,,176.0,,https://www.eyebuydirect.com/eyeglasses/frames/ray-ban-rb7047-tortoise-brown-m-21267,1
eyebuydirect,EyeBuyDirect,Romy,,59.0,,https://www.eyebuydirect.com/eyeglasses/frames/romy-ivory-tortoise-m-27986,1
eyebuydirect,EyeBuyDirect,November,,9.0,,https://www.eyebuydirect.com/eyeglasses/frames/november-matte-black-m-19161,1
eyebuydirect,EyeBuyDirect,Vinyl,,46.0,,https://www.eyebuydirect.com/eyeglasses/frames/vinyl-clear-light-brown-s-28109,1
eyebuydirect,Oakley,Holbrook Rx,,187.0,,https://www.eyebuydirect.com/eyeglasses/frames/oakley-holbrook-rx-satin-black-m-21168,1
eyebuydirect,EyeBuyDirect,Ashby,,33.0,,https://www.eyebuydirect.com/eyeglasses/frames/ashby-tortoise-l-23896,1
eyebuydirect,EyeBuyDirect,Little Bristol,,19.0,,https://www.eyebuydirect.com/eyeglasses/frames/little-bristol-black-s-19667,1
eyebuydirect,EyeBuyDirect,Botanist,,39.0,,https://www.eyebuydirect.com/eyeglasses/frames/botanist-gray-brown-m-19654,1
eyebuydirect,EyeBuyDirect,Time,,23.0,,https://www.eyebuydirect.com/eyeglasses/frames/time-black-m-17499,1
eyebuydirect,EyeBuyDirect,Bristol,,23.0,,https://www.eyebuydirect.com/eyeglasses/frames/bristol-matte-black-l-13603,1
eyebuydirect,EyeBuyDirect,Tower,,59.0,,https://www.eyebuydirect.com/eyeglasses/frames/tower-tortoise-l-20718,1
eyebuydirect,EyeBuyDirect,Algorithm,,43.0,,https://www.eyebuydirect.com/eyeglasses/frames/algorithm-gunmetal-l-18619,1
eyebuydirect,EyeBuyDirect,Suze,,33.0,,https://www.eyebuydirect.com/eyeglasses/frames/suze-matte-black-xl-24858,1
eyebuydirect,EyeBuyDirect,Attitude,,66.0,,https://www.eyebuydirect.com/eyeglasses/frames/attitude-pink-ivory-tortoise-l-22407,1
eyebuydirect,EyeBuyDirect,Denny,,23.0,,https://www.eyebuydirect.com/eyeglasses/frames/denny-black-gray-m-15167,1
eyebuydirect,EyeBuyDirect,Surrey,,49.0,,https://www.eyebuydirect.com/eyeglasses/frames/surrey-burgundy-m-23893,1
eyebuydirect,EyeBuyDirect,Percy,,33.0,,https://www.eyebuydirect.com/eyeglasses/frames/percy-light-golden-m-19759,1
eyebuydirect,EyeBuyDirect,Pacific,,53.0,,https://www.eyebuydirect.com/eyeglasses/frames/pacific-black-m-28073,1
eyebuydirect,EyeBuyDirect,Amity,,33.0,,https://www.eyebuydirect.com/eyeglasses/frames/amity-clear-s-29606,1
eyebuydirect,EyeBuyDirect,Octave,,53.0,,https://www.eyebuydirect.com/eyeglasses/frames/octave-golden-m-29714,1
eyebuydirect,EyeBuyDirect,Fame,,59.0,,https://www.eyebuydirect.com/eyeglasses/frames/fame-golden-l-20224,1
eyebuydirect,EyeBuyDirect,Spencer,,33.0,,https://www.eyebuydirect.com/eyeglasses/frames/spencer-black-l-21053,1
eyebuydirect,EyeBuyDirect,Hepburn,,59.0,,https://www.eyebuydirect.com/eyeglasses/frames/hepburn-clear-blue-s-28098,1
